CODE	Leftmost	Topmost	Rightmost	Bottommost	Offset_Y	U_COORD_1	V_COORD_1	U_COORD_2	V_COORD_2	U_COORD_3	V_COORD_3	U_COORD_4	V_COORD_4	U_COORD_5	V_COORD_5	U_COORD_6	V_COORD_6
120	450	310	467	328	8	0.87890625	0.3203125	0.87890625	0.302734375	0.912109375	0.302734375	0.87890625	0.3203125	0.912109375	0.3203125	0.912109375	0.302734375
121	484	310	502	336	-47	0.9453125	0.328125	0.9453125	0.302734375	0.98046875	0.302734375	0.9453125	0.328125	0.98046875	0.328125	0.98046875	0.302734375
122	8	369	23	387	12	0.015625	0.3779296875	0.015625	0.3603515625	0.044921875	0.3603515625	0.015625	0.3779296875	0.044921875	0.3779296875	0.044921875	0.3603515625
123	42	361	55	395	4	0.08203125	0.3857421875	0.08203125	0.3525390625	0.107421875	0.3525390625	0.08203125	0.3857421875	0.107421875	0.3857421875	0.107421875	0.3525390625
124	82	357	85	395	0	0.16015625	0.3857421875	0.16015625	0.3486328125	0.166015625	0.3486328125	0.16015625	0.3857421875	0.166015625	0.3857421875	0.166015625	0.3486328125
125	111	361	125	395	4	0.216796875	0.3857421875	0.216796875	0.3525390625	0.244140625	0.3525390625	0.216796875	0.3857421875	0.244140625	0.3857421875	0.244140625	0.3525390625
126	143	373	161	381	16	0.279296875	0.3720703125	0.279296875	0.3642578125	0.314453125	0.3642578125	0.279296875	0.3720703125	0.314453125	0.3720703125	0.314453125	0.3642578125
127	0	0	20	37	-357	0.958984375	1.0	0.958984375	0.962890625	1.0	0.962890625	0.958984375	1.0	1.0	1.0	1.0	0.962890625
128	208	363	226	388	6	0.40625	0.37890625	0.40625	0.3544921875	0.44140625	0.3544921875	0.40625	0.37890625	0.44140625	0.37890625	0.44140625	0.3544921875
129	0	0	20	37	-357	0.958984375	1.0	0.958984375	0.962890625	1.0	0.962890625	0.958984375	1.0	1.0	1.0	1.0	0.962890625
130	280	381	289	393	24	0.546875	0.3837890625	0.546875	0.3720703125	0.564453125	0.3720703125	0.546875	0.3837890625	0.564453125	0.3837890625	0.564453125	0.3720703125
131	310	361	329	391	4	0.60546875	0.3818359375	0.60546875	0.3525390625	0.642578125	0.3525390625	0.60546875	0.3818359375	0.642578125	0.3818359375	0.642578125	0.3525390625
132	345	382	363	393	25	0.673828125	0.3837890625	0.673828125	0.373046875	0.708984375	0.373046875	0.673828125	0.3837890625	0.708984375	0.3837890625	0.708984375	0.373046875
133	379	383	397	388	26	0.740234375	0.37890625	0.740234375	0.3740234375	0.775390625	0.3740234375	0.740234375	0.37890625	0.775390625	0.37890625	0.775390625	0.3740234375
134	415	361	429	383	4	0.810546875	0.3740234375	0.810546875	0.3525390625	0.837890625	0.3525390625	0.810546875	0.3740234375	0.837890625	0.3740234375	0.837890625	0.3525390625
135	449	361	463	387	4	0.876953125	0.3779296875	0.876953125	0.3525390625	0.904296875	0.3525390625	0.876953125	0.3779296875	0.904296875	0.3779296875	0.904296875	0.3525390625
136	485	361	496	366	-55	0.947265625	0.357421875	0.947265625	0.3525390625	0.96875	0.3525390625	0.947265625	0.357421875	0.96875	0.357421875	0.96875	0.3525390625
137	2	420	23	447	4	0.00390625	0.4365234375	0.00390625	0.41015625	0.044921875	0.41015625	0.00390625	0.4365234375	0.044921875	0.4365234375	0.044921875	0.41015625
138	38	416	55	447	0	0.07421875	0.4365234375	0.07421875	0.40625	0.107421875	0.40625	0.07421875	0.4365234375	0.107421875	0.4365234375	0.107421875	0.40625
139	76	429	84	444	13	0.1484375	0.43359375	0.1484375	0.4189453125	0.1640625	0.4189453125	0.1484375	0.43359375	0.1640625	0.43359375	0.1640625	0.4189453125
140	105	422	125	447	6	0.205078125	0.4365234375	0.205078125	0.412109375	0.244140625	0.412109375	0.205078125	0.4365234375	0.244140625	0.4365234375	0.244140625	0.412109375
141	0	0	20	37	-416	0.958984375	1.0	0.958984375	0.962890625	1.0	0.962890625	0.958984375	1.0	1.0	1.0	1.0	0.962890625
142	175	416	192	446	0	0.341796875	0.435546875	0.341796875	0.40625	0.375	0.40625	0.341796875	0.435546875	0.375	0.435546875	0.375	0.40625
143	0	0	20	37	-416	0.958984375	1.0	0.958984375	0.962890625	1.0	0.962890625	0.958984375	1.0	1.0	1.0	1.0	0.962890625
144	0	0	20	37	-416	0.958984375	1.0	0.958984375	0.962890625	1.0	0.962890625	0.958984375	1.0	1.0	1.0	1.0	0.962890625
145	282	420	291	432	4	0.55078125	0.421875	0.55078125	0.41015625	0.568359375	0.41015625	0.55078125	0.421875	0.568359375	0.421875	0.568359375	0.41015625
146	313	420	322	432	4	0.611328125	0.421875	0.611328125	0.41015625	0.62890625	0.41015625	0.611328125	0.421875	0.62890625	0.421875	0.62890625	0.41015625
147	345	420	362	432	4	0.673828125	0.421875	0.673828125	0.41015625	0.70703125	0.41015625	0.673828125	0.421875	0.70703125	0.421875	0.70703125	0.41015625
148	378	420	396	432	4	0.73828125	0.421875	0.73828125	0.41015625	0.7734375	0.41015625	0.73828125	0.421875	0.7734375	0.421875	0.7734375	0.41015625
149	416	430	427	442	14	0.8125	0.431640625	0.8125	0.419921875	0.833984375	0.419921875	0.8125	0.431640625	0.833984375	0.431640625	0.833984375	0.419921875
150	448	435	463	438	19	0.875	0.427734375	0.875	0.4248046875	0.904296875	0.4248046875	0.875	0.427734375	0.904296875	0.427734375	0.904296875	0.4248046875
151	479	435	500	438	-40	0.935546875	0.427734375	0.935546875	0.4248046875	0.9765625	0.4248046875	0.935546875	0.427734375	0.9765625	0.427734375	0.9765625	0.4248046875
152	5	480	18	484	5	0.009765625	0.47265625	0.009765625	0.46875	0.03515625	0.46875	0.009765625	0.47265625	0.03515625	0.47265625	0.03515625	0.46875
153	36	482	56	491	7	0.0703125	0.4794921875	0.0703125	0.470703125	0.109375	0.470703125	0.0703125	0.4794921875	0.109375	0.4794921875	0.109375	0.470703125
154	73	480	87	506	5	0.142578125	0.494140625	0.142578125	0.46875	0.169921875	0.46875	0.142578125	0.494140625	0.169921875	0.494140625	0.169921875	0.46875
155	110	488	119	504	13	0.21484375	0.4921875	0.21484375	0.4765625	0.232421875	0.4765625	0.21484375	0.4921875	0.232421875	0.4921875	0.232421875	0.4765625
156	138	487	158	506	12	0.26953125	0.494140625	0.26953125	0.4755859375	0.30859375	0.4755859375	0.26953125	0.494140625	0.30859375	0.494140625	0.30859375	0.4755859375
157	0	0	20	37	-475	0.958984375	1.0	0.958984375	0.962890625	1.0	0.962890625	0.958984375	1.0	1.0	1.0	1.0	0.962890625
158	209	480	224	506	5	0.408203125	0.494140625	0.408203125	0.46875	0.4375	0.46875	0.408203125	0.494140625	0.4375	0.494140625	0.4375	0.46875
159	240	475	260	506	0	0.46875	0.494140625	0.46875	0.4638671875	0.5078125	0.4638671875	0.46875	0.494140625	0.5078125	0.494140625	0.5078125	0.4638671875
160	0	0	20	37	-475	0.958984375	1.0	0.958984375	0.962890625	1.0	0.962890625	0.958984375	1.0	1.0	1.0	1.0	0.962890625
161	316	487	321	513	12	0.6171875	0.5009765625	0.6171875	0.4755859375	0.626953125	0.4755859375	0.6171875	0.5009765625	0.626953125	0.5009765625	0.626953125	0.4755859375
162	345	478	359	510	3	0.673828125	0.498046875	0.673828125	0.466796875	0.701171875	0.466796875	0.673828125	0.498046875	0.701171875	0.498046875	0.701171875	0.466796875
163	378	481	395	506	6	0.73828125	0.494140625	0.73828125	0.4697265625	0.771484375	0.4697265625	0.73828125	0.494140625	0.771484375	0.494140625	0.771484375	0.4697265625
164	412	483	429	504	8	0.8046875	0.4921875	0.8046875	0.4716796875	0.837890625	0.4716796875	0.8046875	0.4921875	0.837890625	0.4921875	0.837890625	0.4716796875
165	446	482	464	506	7	0.87109375	0.494140625	0.87109375	0.470703125	0.90625	0.470703125	0.87109375	0.494140625	0.90625	0.494140625	0.90625	0.470703125
166	488	476	491	491	-63	0.953125	0.4794921875	0.953125	0.46484375	0.958984375	0.46484375	0.953125	0.4794921875	0.958984375	0.4794921875	0.958984375	0.46484375
167	3	539	19	569	0	0.005859375	0.5556640625	0.005859375	0.5263671875	0.037109375	0.5263671875	0.005859375	0.5556640625	0.037109375	0.5556640625	0.037109375	0.5263671875
168	39	539	51	543	0	0.076171875	0.5302734375	0.076171875	0.5263671875	0.099609375	0.5263671875	0.076171875	0.5302734375	0.099609375	0.5302734375	0.099609375	0.5263671875
169	69	541	89	565	2	0.134765625	0.5517578125	0.134765625	0.5283203125	0.173828125	0.5283203125	0.134765625	0.5517578125	0.173828125	0.5517578125	0.173828125	0.5283203125
170	107	541	120	558	2	0.208984375	0.544921875	0.208984375	0.5283203125	0.234375	0.5283203125	0.208984375	0.544921875	0.234375	0.544921875	0.234375	0.5283203125
171	140	548	155	562	9	0.2734375	0.548828125	0.2734375	0.53515625	0.302734375	0.53515625	0.2734375	0.548828125	0.302734375	0.548828125	0.302734375	0.53515625
172	173	554	189	562	15	0.337890625	0.548828125	0.337890625	0.541015625	0.369140625	0.541015625	0.337890625	0.548828125	0.369140625	0.548828125	0.369140625	0.541015625
173	0	0	20	37	-539	0.958984375	1.0	0.958984375	0.962890625	1.0	0.962890625	0.958984375	1.0	1.0	1.0	1.0	0.962890625
174	242	539	258	556	0	0.47265625	0.54296875	0.47265625	0.5263671875	0.50390625	0.5263671875	0.47265625	0.54296875	0.50390625	0.54296875	0.50390625	0.5263671875
175	279	540	289	543	1	0.544921875	0.5302734375	0.544921875	0.52734375	0.564453125	0.52734375	0.544921875	0.5302734375	0.564453125	0.5302734375	0.564453125	0.52734375
176	312	539	325	551	0	0.609375	0.5380859375	0.609375	0.5263671875	0.634765625	0.5263671875	0.609375	0.5380859375	0.634765625	0.5380859375	0.634765625	0.5263671875
